model,season,pr_demise,pr_duration,pr_integrated_amount,pr_onset,pr_peak_amount,pr_peak_timing,pr_seas_ratio,dmi_amount,dmi_timing,hus1000_amount,hus1000_timing,hus850_amount,hus850_timing,mse1000_amount,mse1000_timing,mse850_amount,mse850_timing,tos_amount,tos_timing,ua250_amount,ua250_timing,ua250e_amount,ua250e_timing,wap250_amount,wap250_timing,wap500_amount,wap500_timing,dmi_amount_corr,dmi_timing_corr,hus1000_amount_corr,hus1000_timing_corr,hus850_amount_corr,hus850_timing_corr,mse1000_amount_corr,mse1000_timing_corr,mse850_amount_corr,mse850_timing_corr,tos_amount_corr,tos_timing_corr,ua250_amount_corr,ua250_timing_corr,ua250e_amount_corr,ua250e_timing_corr,wap250_amount_corr,wap250_timing_corr,wap500_amount_corr,wap500_timing_corr
ACCESS-CM2,long,158.8135593220339,48.83050847457627,98.82729220806186,109.98305084745763,4.547825733039891e-05,132.10169491525423,0.7084092757218792,-0.7347479462623596,158.0,0.016986677423119545,150.0,0.010865856893360615,150.0,340650.59375,149.0,334067.90625,149.0,28.893959045410156,131.0,2.1962733268737793,148.0,2.1117136478424072,215.0,0.015213132835924625,149.0,0.012050426565110683,149.0,0.18755604286816904,-0.26552040069351485,0.6346768368031113,0.5616555449507511,0.8402847023321102,0.6705603997743699,0.5103296007764494,0.4141188503789676,0.757920340328442,0.6204551841753813,0.18104619846286257,0.30629690454486724,0.390832163363696,0.13998153845371597,0.4796007199196047,0.2970040808341958,-0.7207705902981301,-0.059543890318448464,-0.6974242379069282,0.1756461863319581
ACCESS-CM2,short,336.79661016949154,84.77966101694915,224.19671210749647,252.01694915254237,6.825600973832602e-05,290.864406779661,0.7084092757218792,-0.042705122381448746,308.0,0.01639579050242901,318.0,0.01095295138657093,284.0,339061.0625,319.0,332897.09375,283.0,28.240644454956055,336.0,3.5056979656219482,270.0,4.470065116882324,267.0,0.013633808121085167,291.0,0.0022789817303419113,290.0,0.45497467521264234,0.24713514923855184,0.6294057520485765,0.5765340438920641,0.7359964334484749,0.5670293507942107,0.53921302200314,0.16701847120429558,0.6004553238682494,0.6893646707577143,0.23114459374463858,-0.02752234249572863,-0.410329293276005,-0.06341638108303853,0.0859377896690271,-0.3282042212261364,-0.7259448211655981,0.13400868191364443,-0.8039063747493216,0.17682092273608646
ACCESS-ESM1-5,long,193.03846153846155,42.76923076923077,147.491448074652,150.26923076923077,5.144662869637474e-05,169.73076923076923,0.8636444107375808,-0.5775682330131531,229.0,,,0.011721574701368809,162.0,,,,,28.85126304626465,140.0,3.1162500381469727,153.0,4.506692409515381,169.0,0.010643787682056427,53.0,0.017967864871025085,87.0,0.389614069002545,0.0829581182322475,,,0.5703457358627914,0.4618421179177046,,,,,0.258103037741102,0.24217390713650405,0.022730055747168267,-0.2076372617516874,0.05052830973137197,0.44562557908711525,-0.25780371883994263,0.10753390409083594,-0.5414573270511576,-0.11916240873845683
ACCESS-ESM1-5,short,341.72727272727275,78.0,283.10038965613455,263.72727272727275,9.163263455940813e-05,279.8636363636364,0.8636444107375808,0.6813269257545471,283.0,,,0.012441685423254967,293.0,,,,,28.548587799072266,327.0,-0.07671114057302475,285.0,4.687892436981201,259.0,0.006725924555212259,356.0,-0.004991159774363041,293.0,0.6068404445236893,0.2059545874232308,,,0.6140853261037991,0.5272289144937918,,,,,0.32356634869885625,0.21372934254705467,-0.47437985947000744,-0.4956974576513464,0.2361796969596348,-0.06020165573745848,-0.5342036182533727,-0.6653685812086843,-0.750490674270362,0.6272921673902861
AWI-CM-1-1-MR,long,,,,,,,,-0.18833547830581665,117.0,,,,,,,,,29.32029914855957,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWI-CM-1-1-MR,short,,,,,,,,-0.8530094027519226,346.0,,,,,,,,,27.717315673828125,330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWI-ESM-1-1-LR,long,145.14705882352942,58.73529411764706,56.536078155128344,86.41176470588235,2.659184584070531e-05,116.6470588235294,0.4514448055030514,-0.0006703858962282538,106.0,0.012480318546295166,128.0,0.011032551527023315,130.0,333504.9375,128.0,333432.71875,129.0,27.926204681396484,121.0,1.8252818584442139,118.0,0.47061246633529663,133.0,0.008869856595993042,122.0,0.00770043907687068,117.0,0.28939260956177365,0.13558555268399308,0.7378163633266639,0.7007016304273134,0.6023976015026506,0.5935001223174847,0.31651014968913677,0.6157627716224644,0.23069385721414715,0.5511855108480311,0.2539098204973258,0.18708302248444483,0.20756238977851285,-0.0887819168659835,0.05347111447348942,0.21629486592603897,-0.5541308270317178,0.059385286997409845,-0.8222148930629475,-0.0401960694132954
AWI-ESM-1-1-LR,short,335.1818181818182,57.09090909090909,52.61654946763614,278.09090909090907,2.17448745471219e-05,304.42424242424244,0.4514448055030514,-0.7107752561569214,354.0,0.011427740566432476,291.0,0.009979150258004665,295.0,329789.9375,290.0,329809.6875,291.0,26.393901824951172,334.0,5.596879005432129,320.0,1.2985635995864868,315.0,0.013000535778701305,328.0,0.018547004088759422,307.0,-0.16189581315304397,-0.19529807389441894,0.5514892247463202,0.4524497715689791,0.4923040807395165,0.5449149675118726,0.49920245039619526,0.391112408983315,0.4461308293058928,0.5943690243253136,0.3297716172527233,0.24038912723510347,-0.08964252046502377,-0.3324495049925872,0.021453893880288014,-0.21728982017774467,-0.18664760885442191,0.25165733755528974,-0.49650842353270475,0.24679935407928424
BCC-CSM2-MR,long,152.27272727272728,52.493506493506494,173.2176099355917,99.77922077922078,9.14134888226762e-05,124.31168831168831,0.6482405572185392,0.016475560143589973,127.0,0.015056470409035683,140.0,0.012414409779012203,142.0,,,,,30.069494247436523,126.0,0.1763860434293747,152.0,-1.6191140413284302,136.0,0.00020476922509260476,133.0,-0.00925397127866745,135.0,-0.357385607898131,0.14381790703313146,0.687141881355383,0.3875306149092456,0.611554553171614,0.39698297070486754,,,,,0.005596149182728327,0.1900744254630413,-0.11382512034115747,0.10302991610289468,-0.014196921795765323,0.013115698649426008,-0.6165301635235163,0.39776853910064996,-0.684048904717441,0.5565678079202899
BCC-CSM2-MR,short,347.76623376623377,94.35064935064935,410.7131747551211,253.41558441558442,0.00012818366932068867,301.24675324675326,0.6482405572185392,1.7662376165390015,290.0,0.01524343155324459,291.0,0.012477392330765724,290.0,,,,,29.20724105834961,331.0,8.950901985168457,364.0,18.618268966674805,364.0,-0.005546123255044222,296.0,-0.020879799500107765,296.0,0.6580144148879481,-0.09695227936579578,0.6654093473934879,0.4799162068393108,0.5195564553909233,0.3180326735423929,,,,,0.44719442560455946,0.13459623506502394,-0.19711815090459062,-0.37868820886086857,0.2621808635487644,-0.06388360051349781,-0.7729555529838632,0.3468110799400192,-0.779760804231998,0.680378066876243
